Rank,Name,Industry,Revenue (USD millions),Revenue growth,Employees,Headquarters
1,Walmart,General merchandisers,"5,72,754",2.40%,"23,00,000","Bentonville, Arkansas"
2,Amazon,Retail and Cloud Computing,"4,69,822",21.70%,"16,08,000","Seattle, Washington"
3,Apple,Electronics industry,"3,65,817",33.20%,"1,54,000","Cupertino, California"
4,CVS Health,Healthcare,"2,92,111",32.00%,"2,58,000","Woonsocket, Rhode Island"
5,UnitedHealth Group,Healthcare,"2,87,597",11.80%,"3,50,000","Minnetonka, Minnesota"
6,Exxon Mobil,Petroleum industry,"2,85,640",57.40%,"63,000","Spring, Texas"
7,Berkshire Hathaway,Conglomerate,"2,76,094",12.50%,"3,72,000","Omaha, Nebraska"
8,Alphabet,Technology,"2,57,637",41.20%,"1,56,000","Mountain View, California"
9,McKesson Corporation,Health,"2,38,228",3.10%,"67,500","Irving, Texas"
10,AmerisourceBergen,Pharmaceutical industry,"2,13,989",12.70%,"40,000","Chesterbrook, Pennsylvania"
11,Microsoft,Technology,"1,98,087",17.50%,"1,81,000","Redmond, Washington"
12,Costco,Retail,"1,95,929",17.50%,"2,88,000","Issaquah, Washington"
13,Cigna,Health Insurance,"1,74,078",8.50%,"72,963","Bloomfield, Connecticut"
14,AT&T,Conglomerate,"1,68,864",1.70%,"2,02,600","Dallas, Texas"
15,Cardinal Health,Healthcare,"1,62,467",6.20%,"46,827","Dublin, Ohio"
16,Chevron Corporation,Petroleum industry,"1,62,465",71.60%,"42,595","San Ramon, California"
17,The Home Depot,Retail,"1,51,157",14.40%,"4,90,600","Atlanta, Georgia"
18,Walgreens Boots Alliance,Pharmaceutical industry,"1,48,579",6.50%,"2,58,500","Deerfield, Illinois"
19,Marathon Petroleum,Petroleum industry,"1,41,032",58.50%,"17,700","Findlay, Ohio"
20,Elevance Health,Healthcare,"1,38,639",13.80%,"98,200","Indianapolis, Indiana"
21,Kroger,Retail,"1,37,888",4.10%,"4,20,000","Cincinnati, Ohio"
22,Ford Motor Company,Automotive industry,"1,36,341",7.20%,"1,83,000","Dearborn, Michigan"
23,Verizon Communications,Telecommunications,"1,33,613",4.10%,"1,18,400","New York City, New York"
24,JPMorgan Chase,Financial services,"1,27,202",1.80%,"2,71,025","New York City, New York"
25,General Motors,Automotive,"1,27,004",3.70%,"1,57,000","Detroit, Michigan"
26,Centene,Healthcare,"1,25,982",13.40%,"72,500","St. Louis, Missouri"
27,Meta Platforms,Technology,"1,17,385",37.20%,"71,970","Menlo Park, California"
28,Comcast,Telecommunications,"1,16,385",12.40%,"1,89,000","Philadelphia, Pennsylvania"
29,Phillips 66,Petroleum industry,"1,14,852",75.40%,"14,000","Houston, Texas"
30,Valero Energy,Petroleum industry,"1,08,332",80.20%,"9,804","San Antonio, Texas"
31,Dell Technologies,Technology,"1,06,995",13.60%,"1,33,000","Round Rock, Texas"
32,Target Corporation,Retail,"1,06,005",13.30%,"4,50,000","Minneapolis, Minnesota"
33,Fannie Mae,Financials,"1,01,543",4.60%,"7,400","Washington, D.C."
34,United Parcel Service,Transportation,"97,287",15.00%,"4,00,945","Atlanta, Georgia"
35,Lowe's,Retail,"96,250",7.40%,"2,70,000","Mooresville, North Carolina"
36,Bank of America,Financials,"93,851",0.10%,"2,08,248","Charlotte, North Carolina"
37,Johnson & Johnson,Pharmaceutical industry,"93,775",13.60%,"1,41,700","New Brunswick, New Jersey"
38,Archer Daniels Midland,Food industry,"85,959",32.50%,"39,979","Chicago, Illinois"
39,FedEx,Transportation,"83,959",21.30%,"4,84,000","Memphis, Tennessee"
40,Humana,Health Insurance,"83,064",7.70%,"95,500","Louisville, Kentucky"
41,Wells Fargo,Financials,"82,407",2.60%,"2,47,848","San Francisco, California"
42,State Farm,Financials,"82,407",4.20%,"53,586","Bloomington, Illinois"
43,Pfizer,Pharmaceutical industry,"81,288",94.00%,"79,000","New York City, New York"
44,Citigroup,Financials,"79,865",10.10%,"2,21,768","New York City, New York"
45,PepsiCo,Beverage,"79,474",12.90%,"3,09,000","Purchase, New York"
46,Intel,Technology,"79,024",1.50%,"1,21,100","Santa Clara, California"
47,Procter & Gamble,Consumer products Manufacturing,"76,118",7.30%,"1,01,000","Cincinnati, Ohio"
48,General Electric,Conglomerate,"74,196",6.80%,"1,68,000","Boston, Massachusetts"
49,IBM,Technology,"72,344",1.70%,"2,97,800","Armonk, New York"
50,MetLife,Financials,"71,080",4.80%,"43,000","New York City, New York"
51,Prudential Financial,Financials,"70,934",24.40%,"40,916","Newark, New Jersey"
52,Albertsons,Retail,"69,690",11.60%,"3,00,000","Boise, Idaho"
53,The Walt Disney Company,Media,"67,418",3.10%,"1,71,000","Burbank, California"
54,Energy Transfer Partners,Petroleum industry,"67,418",73.10%,"12,558","Dallas, Texas"
55,Lockheed Martin,Aerospace and Defense,"67,044",2.50%,"1,14,000","Bethesda, Maryland"
56,Freddie Mac,Financials,"65,898",0.50%,"7,301","McLean, Virginia"
57,Goldman Sachs,Financials,"64,989",2.70%,"43,900","New York City, New York"
58,Raytheon Technologies,Conglomerate,"64,388",13.80%,"1,74,000","Waltham, Massachusetts"
59,HP,Technology,"63,487",12.10%,"51,000","Palo Alto, California"
60,Boeing,Aerospace and defense,"62,286",7.10%,"1,42,000","Chicago, Illinois"
61,Morgan Stanley,Financials,"61,121",17.40%,"74,814","New York City, New York"
62,HCA Healthcare,Healthcare,"58,752",14.00%,"2,44,000","Nashville, Tennessee"
63,AbbVie,Pharmaceutical industry,"56,197",22.70%,"50,000","Lake Bluff, Illinois"
64,Dow Chemical Company,Chemical industry,"54,968",42.60%,"35,700","Midland, Michigan"
65,Tesla,Automotive and Energy,"53,823",70.70%,"99,290","Austin, Texas"
66,Allstate,Insurance,"53,228",18.80%,"54,500","Northfield Township, Cook County, Illinois"
67,AIG,Insurance,"52,057",19.00%,"36,600","New York City, New York"
68,Best Buy,Retail,"51,761",9.50%,"81,375","Richfield, Minnesota"
69,Charter Communications,Telecommunications,"51,682",7.50%,"93,700","Stamford, Connecticut"
70,Sysco,Food Service,"51,298",3.00%,"57,710","Houston, Texas"
71,Merck & Co.,Pharmaceutical industry,"51,216",6.70%,"67,500","Kenilworth, New Jersey"
72,New York Life Insurance Company,Insurance,"51,199",9.60%,"13,344","New York City, New York"
73,Novartis,Pharmaceuticals,"51,332",6.00%,"1,10,000","Cambridge, Massachusetts"
74,Caterpillar,Machinery,"50,971",22.10%,"1,07,700","Deerfield, Illinois"
75,Cisco,Telecom Hardware Manufacturing,"49,818",1.00%,"79,500","San Jose, California"
76,TJX,Retail,"48,550",51.10%,"3,40,000","Framingham, Massachusetts"
77,Publix,Retail,"48,394",7.10%,"2,32,000","Lakeland, Florida"
78,ConocoPhillips,Petroleum industry,"48,349",151.10%,"9,900","Houston, Texas"
79,Liberty Mutual Group,Insurance,"48,200",10.10%,"45,000","Boston, Massachusetts"
80,Progressive Corporation,Insurance,"47,702",11.80%,"49,077","Mayfield Village, Ohio"
81,Nationwide Mutual Insurance Company,Financial,"47,376",13.00%,"24,134","Columbus, Ohio"
82,Tyson Foods,Food Processing,"47,049",8.90%,"1,37,000","Springdale, Arkansas"
83,Bristol-Myers Squibb,Pharmaceutical industry,"46,385",9.10%,"32,200","New York City, New York"
84,GSK plc,Pharmaceuticals,"44,700",3.00%,"97,000","Philadelphia, Pennsylvania"
85,Nike,Apparel,"44,538",19.10%,"73,300","Beaverton, Oregon"
86,John Deere,Agriculture manufacturing,"44,024",23.90%,"75,550","Moline, Illinois"
87,American Express,Financial,"43,663",14.30%,"64,000","New York City, New York"
88,Abbott Laboratories,Medical devices,"43,075",24.50%,"1,13,000","Chicago, Illinois"
89,StoneX Group,Financials,"42,534",21.40%,"3,242","New York City, New York"
90,Plains All American Pipeline,Petroleum industry,"42,078",80.70%,"4,100","Houston, Texas"
91,Enterprise Products,Petroleum industry,"40,807",50.00%,"6,911","Houston, Texas"
92,TIAA,Insurance,"40,526",2.60%,"15,065","New York City, New York"
93,Oracle Corporation,Software,"40,479",3.60%,"1,32,000","Austin, Texas"
94,Thermo Fisher Scientific,Laboratory instruments,"39,211",21.70%,"1,29,000","Waltham, Massachusetts"
95,Coca-Cola Company,Beverages,"38,655",17.10%,"79,000","Atlanta, Georgia"
96,General Dynamics,Airspace and defense,"38,469",8.70%,"1,03,100","Reston, Virginia"
97,CHS,Agriculture cooperative,"38,448",1.40%,"9,941","Inver Grove Heights, Minnesota"
98,USAA,Financials,"37,470",3.20%,"37,335","San Antonio, Texas"
99,Northwestern Mutual,Insurance,"36,751",8.80%,"7,585","Milwaukee, Wisconsin"
100,Nucor,Metals,"36,484",81.20%,"28,800","Charlotte, North Carolina"
